# 複合語一覧 (3363 語) — 貪欲マッチによる V4 ベース分離
# 形式: [N基] 元語  ->  base1 + base2 + ...

[2基] cheokorchey  ->  cheok + orchey
[2基] cheoky  ->  cheok + y
[2基] cheolaiin  ->  cheol + aiin
[2基] cheolchal  ->  cheol + chal
[2基] cheolchcthy  ->  cheol + chcthy
[2基] cheolchdaiin  ->  cheol + chdaiin
[2基] cheolchdy  ->  cheol + chdy
[2基] cheolchey  ->  cheol + chey
[2基] cheoldain  ->  cheol + dain
[2基] cheoldy  ->  cheol + dy
[2基] cheolkain  ->  cheolk + ain
[2基] cheolkary  ->  cheolk + ary
[2基] cheolkedy  ->  cheolk + edy
[2基] cheolkeedy  ->  cheolk + eedy
[3基] cheolkeepchy  ->  cheolk + eepc + hy
[2基] cheolkeey  ->  cheolk + eey
[2基] cheolky  ->  cheolk + y
[2基] cheolor  ->  cheolo + r
[2基] cheolpy  ->  cheolp + y
[2基] cheolshy  ->  cheols + hy
[2基] cheoltain  ->  cheolt + ain
[2基] cheoltar  ->  cheolt + ar
[2基] cheoltchedaiin  ->  cheolt + chedaiin
[2基] cheoltey  ->  cheolt + ey
[2基] cheomam  ->  cheom + am
[2基] cheooky  ->  cheook + y
[2基] cheopaiin  ->  cheop + aiin
[2基] cheopcheod  ->  cheop + cheod
[2基] cheopolteeedy  ->  cheop + olteeedy
[2基] cheopor  ->  cheop + or
[2基] cheopy  ->  cheop + y
[2基] cheoral  ->  cheor + al
[2基] cheoram  ->  cheor + am
[2基] cheorol  ->  cheoro + l
[3基] cheoseesey  ->  cheos + ees + ey
[2基] cheotaiin  ->  cheot + aiin
[2基] cheotain  ->  cheot + ain
[2基] cheotam  ->  cheot + am
[2基] cheotar  ->  cheot + ar
[2基] cheotchar  ->  cheot + char
[2基] cheotchey  ->  cheot + chey
[2基] cheotchy  ->  cheot + chy
[2基] cheotdaiin  ->  cheot + daiin
[2基] cheoteeo  ->  cheot + eeo
[2基] cheoteeodal  ->  cheot + eeodal
[2基] cheoteey  ->  cheot + eey
[2基] cheotey  ->  cheot + ey
[2基] cheotol  ->  cheot + ol
[2基] cheoty  ->  cheot + y
[2基] cheotydy  ->  cheot + ydy
[2基] chepakeo  ->  chepak + eo
[2基] chepcham  ->  chepc + ham
[2基] chepchar  ->  chepc + har
[2基] chepchdy  ->  chepc + hdy
[2基] chepched  ->  chepc + hed
[2基] chepchedy  ->  chepc + hedy
[2基] chepchees  ->  chepc + hees
[2基] chepchefy  ->  chepc + hefy
[2基] chepcheol  ->  chepc + heol
[2基] chepchey  ->  chepc + hey
[3基] chepchx  ->  chepc + h + x
[2基] chepchy  ->  chepc + hy
[2基] chesckhy  ->  ches + ckhy
[2基] chese  ->  ches + e
[2基] chesey  ->  ches + ey
[3基] chesokeeoteody  ->  chesok + eeot + eody
[2基] chetalshy  ->  chetals + hy
[2基] chetchaiin  ->  chetc + haiin
[2基] chetchdy  ->  chetc + hdy
[2基] chetchey  ->  chetc + hey
[2基] chetcho  ->  chetc + ho
[2基] chetchody  ->  chetc + hody
[2基] chetchy  ->  chetc + hy
[2基] chetechy  ->  chet + echy
[2基] chetedar  ->  chet + edar
[2基] chetedy  ->  chet + edy
[2基] cheteedy  ->  chet + eedy
[2基] cheteeeosaiin  ->  chet + eeeosaiin
[2基] cheteey  ->  chet + eey
[3基] chetegy  ->  chet + e + gy
[4基] chetesescher  ->  chet + es + es + cher
[2基] chetey  ->  chet + ey
[2基] chetolain  ->  chetol + ain
[2基] chetshedy  ->  chets + hedy
[2基] chetshy  ->  chets + hy
[2基] cheykaiin  ->  cheyk + aiin
[2基] cheykain  ->  cheyk + ain
[3基] cheykechey  ->  cheyk + ech + ey
[2基] cheykedy  ->  cheyk + edy
[2基] cheykeeed  ->  cheyk + eeed
[2基] cheykeeoy  ->  cheyk + eeoy
[2基] cheykey  ->  cheyk + ey
[2基] cheyky  ->  cheyk + y
[2基] cheytal  ->  cheyt + al
[2基] cheytey  ->  cheyt + ey
[2基] cheyty  ->  cheyt + y
[2基] chfaikch  ->  chfaik + ch
[2基] chfchol  ->  chfc + hol
[2基] chforaiin  ->  chfor + aiin
[2基] chhy  ->  ch + hy
[4基] chkaidararal  ->  chkaid + ar + ar + al
[2基] chkalar  ->  chkal + ar
[2基] chkalchy  ->  chkal + chy
[2基] chkarol  ->  chkaro + l
[2基] chkchdar  ->  chkc + hdar
[2基] chkchean  ->  chkc + hean
[3基] chkchedaram  ->  chkc + hedar + am
[2基] chkcheean  ->  chkc + heean
[2基] chkchod  ->  chkc + hod
[2基] chkchody  ->  chkc + hody
[2基] chkchol  ->  chkc + hol
[2基] chkchory  ->  chkc + hory
[2基] chkchy  ->  chkc + hy
[2基] chkchykoly  ->  chkc + hykoly
[2基] chkeaiin  ->  chk + eaiin
[2基] chkear  ->  chk + ear
[2基] chkedy  ->  chk + edy
[2基] chkeeal  ->  chk + eeal
[2基] chkeedy  ->  chk + eedy
[2基] chkeeey  ->  chk + eeey
[2基] chkeeody  ->  chk + eeody
[2基] chkeey  ->  chk + eey
[2基] chkeody  ->  chk + eody
[2基] chkeor  ->  chk + eor
[2基] chkey  ->  chk + ey
[2基] chkodal  ->  chkod + al
[2基] chkoldy  ->  chkol + dy
[2基] chkorchy  ->  chkor + chy
[2基] chkshy  ->  chks + hy
[2基] chlchd  ->  chlc + hd
[2基] chlchpsheey  ->  chlc + hpsheey
[2基] chocfhdy  ->  chocf + hdy
[3基] chocfhhg  ->  chocf + h + hg
[2基] chocfhor  ->  chocf + hor
[2基] chocfhy  ->  chocf + hy
[2基] chochar  ->  choc + har
[2基] chochor  ->  choc + hor
[2基] chochs  ->  choc + hs
[2基] chochy  ->  choc + hy
[2基] chockhar  ->  chock + har
[2基] chockhdy  ->  chock + hdy
[2基] chockhed  ->  chock + hed
[2基] chockhedy  ->  chock + hedy
[2基] chockhey  ->  chock + hey
[3基] chockhhor  ->  chock + h + hor
[3基] chockhhy  ->  chock + h + hy
[2基] chockhol  ->  chock + hol
[2基] chockhor  ->  chock + hor
[2基] chockhy  ->  chock + hy
[2基] chocpheod  ->  chocp + heod
[2基] chocphol  ->  chocp + hol
[2基] chocphor  ->  chocp + hor
[2基] chocphy  ->  chocp + hy
[2基] chocthar  ->  choct + har
[2基] chocthedy  ->  choct + hedy
[2基] choctheeey  ->  choct + heeey
[2基] chocthey  ->  choct + hey
[2基] chocthody  ->  choct + hody
[2基] chocthy  ->  choct + hy
[2基] choctoy  ->  choct + oy
[2基] chocty  ->  choct + y
[2基] chodaiindy  ->  chodaiin + dy
[2基] chodalar  ->  chodal + ar
[2基] chodalg  ->  chodal + g
[2基] chodchy  ->  chod + chy
[2基] choddal  ->  chodd + al
[2基] chodey  ->  chod + ey
[2基] chodoldy  ->  chodol + dy
[2基] chodykchy  ->  chodyk + chy
[2基] choeee  ->  cho + eee
[2基] choeees  ->  cho + eees
[2基] choees  ->  cho + ees
[2基] choeesy  ->  cho + eesy
[2基] choeey  ->  cho + eey
[2基] choefy  ->  cho + efy
[2基] choek  ->  cho + ek
[3基] choekchchy  ->  cho + ekc + hchy
[3基] choekchy  ->  cho + ekc + hy
[3基] choekeeos  ->  cho + ek + eeos
[3基] choekeey  ->  cho + ek + eey
[3基] choekey  ->  cho + ek + ey
[2基] choeky  ->  cho + eky
[4基] choetchaldy  ->  cho + etc + hal + dy
[3基] choetchy  ->  cho + etc + hy
[3基] choeteedy  ->  cho + et + eedy
[3基] choetey  ->  cho + et + ey
[2基] choety  ->  cho + ety
[2基] chofaly  ->  chof + aly
[2基] chofary  ->  chof + ary
[2基] chofchdy  ->  chof + chdy
[2基] chofchody  ->  chof + chody
[2基] chofchol  ->  chof + chol
[2基] chofchy  ->  chof + chy
[2基] chofochcphdy  ->  chof + ochcphdy
[2基] chofol  ->  chof + ol
[2基] chofy  ->  chof + y
[2基] chofydy  ->  chof + ydy
[2基] choikhedy  ->  choik + hedy
[2基] choikhy  ->  choik + hy
[2基] choiphy  ->  choip + hy
[2基] chokaiin  ->  chok + aiin
[2基] chokain  ->  chok + ain
[2基] chokair  ->  chok + air
[2基] chokal  ->  chok + al
[2基] chokaly  ->  chok + aly
[2基] chokam  ->  chok + am
[2基] chokan  ->  chok + an
[2基] chokar  ->  chok + ar
[2基] chokaro  ->  chok + aro
[2基] chokchaiin  ->  chok + chaiin
[2基] chokchedy  ->  chok + chedy
[2基] chokcheey  ->  chok + cheey
[2基] chokcheo  ->  chok + cheo
[2基] chokchey  ->  chok + chey
[2基] chokcho  ->  chok + cho
[2基] chokchodaiin  ->  chok + chodaiin
[2基] chokchol  ->  chok + chol
[2基] chokchor  ->  chok + chor
[2基] chokchy  ->  chok + chy
[2基] chokcod  ->  chok + cod
[2基] chokeal  ->  chok + eal
[2基] choked  ->  chok + ed
[2基] chokedair  ->  chok + edair
[2基] chokedy  ->  chok + edy
[2基] chokeear  ->  chok + eear
[2基] chokeed  ->  chok + eed
[2基] chokeedam  ->  chok + eedam
[2基] chokeedy  ->  chok + eedy
[2基] chokeeey  ->  chok + eeey
[2基] chokeeo  ->  chok + eeo
[2基] chokeeodol  ->  chok + eeodol
[2基] chokeeody  ->  chok + eeody
[3基] chokeeoky  ->  chok + eeok + y
[2基] chokeeor  ->  chok + eeor
[2基] chokees  ->  chok + ees
[2基] chokeey  ->  chok + eey
[2基] chokeo  ->  chok + eo
[2基] chokeod  ->  chok + eod
[2基] chokeody  ->  chok + eody
[2基] chokeol  ->  chok + eol
[2基] chokeor  ->  chok + eor
[2基] chokeos  ->  chok + eos
[3基] chokesey  ->  chok + es + ey
[2基] chokey  ->  chok + ey
[2基] choko  ->  chok + o
[2基] chokoaiin  ->  chok + oaiin
[2基] chokody  ->  chok + ody
[2基] chokoiin  ->  chok + oiin
[3基] chokoishe  ->  chok + ois + he
[2基] chokokor  ->  chok + okor
[2基] chokol  ->  chok + ol
[2基] chokoldy  ->  chok + oldy
[2基] chokolg  ->  chok + olg
[2基] chokor  ->  chok + or
[2基] chokoran  ->  chok + oran
[2基] chokory  ->  chok + ory
